SHA code,SHA name,PCT code,PCT name,Practice code,Practice name,Deaf and uses sign language - total responses,Yes,No,% Yes,% No
Q30,North East SHA,5D8,North Tyneside ,A87009,PRIORY MEDICAL GROUP,388,0,388,0%,100%
Q30,North East SHA,5D8,North Tyneside ,A87011,BEAUMONT PARK SURGERY,279,1,278,*,100%
Q30,North East SHA,5D8,North Tyneside ,A87012,WIDEOPEN MEDICAL CENTRE,408,1,407,*,100%
Q30,North East SHA,5D8,North Tyneside ,A87013,BEWICKE MEDICAL CENTRE,227,0,227,0%,100%
Q30,North East SHA,5D8,North Tyneside ,A87014,EARSDON PARK MEDICAL PRACTICE,269,0,269,0%,100%
Q30,North East SHA,5D8,North Tyneside ,A87015,APPLEBY SURGERY,233,0,233,0%,100%
Q30,North East SHA,5D8,North Tyneside ,A87016,THE VILLAGE GREEN SURGERY,234,0,234,0%,100%
Q30,North East SHA,5D8,North Tyneside ,A87017,WOODLANDS PARK HEALTH CTR,161,0,161,0%,100%
Q30,North East SHA,5D8,North Tyneside ,A87019,NELSON MEDICAL GROUP,339,1,338,*,100%
Q30,North East SHA,5D8,North Tyneside ,A87020,MONKSEATON MEDICAL CENTRE,187,0,187,0%,100%
Q30,North East SHA,5D8,North Tyneside ,A87022,SHIREMOOR RESOURCE CENTRE,351,1,350,*,100%
Q30,North East SHA,5D8,North Tyneside ,A87023,THE SMITH PRACTICE,101,0,101,0%,100%
Q30,North East SHA,5D8,North Tyneside ,A87027,GARDEN PARK SURGERY,96,0,96,0%,100%
Q30,North East SHA,5D8,North Tyneside ,A87029,PARK ROAD MEDICAL PRACT,247,0,247,0%,100%
Q30,North East SHA,5D8,North Tyneside ,A87030,REDBURN PARK MEDICAL CENTRE,262,5,257,2%,98%
Q30,North East SHA,5D8,North Tyneside ,A87600,PARK PARADE PRACTICE,179,1,178,1%,99%
Q30,North East SHA,5D8,North Tyneside ,A87612,WELLSPRING MEDICAL PRACT.,350,1,349,*,100%
Q30,North East SHA,5D8,North Tyneside ,A87615,PRESTON & AUSTIN PRACTICE,126,0,126,0%,100%
Q30,North East SHA,5D8,North Tyneside ,Y02710,BATTLE HILL HEALTH CENTRE,175,1,174,1%,99%
Q30,North East SHA,5D9,Hartlepool ,A81003,THE GALLAGHER PRACTICE,230,1,229,*,100%
Q30,North East SHA,5D9,Hartlepool ,A81007,BANK HOUSE SURGERY,162,0,162,0%,100%
Q30,North East SHA,5D9,Hartlepool ,A81011,CHADWICK PRACTICE,100,0,100,0%,100%
Q30,North East SHA,5D9,Hartlepool ,A81031,HAVELOCK GRANGE PRACTICE,325,1,324,*,100%
Q30,North East SHA,5D9,Hartlepool ,A81041,HART MEDICAL PRACTICE,299,0,299,0%,100%
Q30,North East SHA,5D9,Hartlepool ,A81044,MCKENZIE HOUSE SURGERY,328,1,327,*,100%
Q30,North East SHA,5D9,Hartlepool ,A81060,THE KOH PRACTICE,136,0,136,0%,100%
Q30,North East SHA,5D9,Hartlepool ,A81063,THE HEADLAND MEDICAL CENTRE,99,1,98,1%,99%
Q30,North East SHA,5D9,Hartlepool ,A81070,WYNYARD ROAD PRIMARY CARE CENTRE,118,0,118,0%,100%
Q30,North East SHA,5D9,Hartlepool ,A81612,THE PATEL PRACTICE,97,0,97,0%,100%
Q30,North East SHA,5D9,Hartlepool ,A81613,THE HAZLE PRACTICE,138,0,138,0%,100%
Q30,North East SHA,5D9,Hartlepool ,A81622,GLADSTONE HOUSE SURGERY,127,1,126,1%,99%
Q30,North East SHA,5D9,Hartlepool ,A81631,WEST VIEW MILLENIUM SURGERY A,230,0,230,0%,100%
Q30,North East SHA,5D9,Hartlepool ,Y02501,HARTFIELDS MEDICAL PRACTICE,198,1,197,1%,99%
Q30,North East SHA,5D9,Hartlepool ,Y02597,THE FENS MEDICAL CENTRE,219,1,218,*,100%
Q30,North East SHA,5E+01,Stockton-on-Tees Teaching,A81001,THE DENSHAM SURGERY,384,0,384,0%,100%
Q30,North East SHA,5E+01,Stockton-on-Tees Teaching,A81002,QUEENS PARK MEDICAL CENTRE,273,0,273,0%,100%
Q30,North East SHA,5E+01,Stockton-on-Tees Teaching,A81006,TENNANT STREET MEDICAL PRACTICE,384,0,384,0%,100%
Q30,North East SHA,5E+01,Stockton-on-Tees Teaching,A81014,QUEENSTREE PRACTICE,327,1,326,*,100%
Q30,North East SHA,5E+01,Stockton-on-Tees Teaching,A81017,WOODBRIDGE PRACTICE,392,0,392,0%,100%
Q30,North East SHA,5E+01,Stockton-on-Tees Teaching,A81025,THE DOVECOT SURGERY,200,0,200,0%,100%
Q30,North East SHA,5E+01,Stockton-on-Tees Teaching,A81027,YARM MEDICAL PRACTICE,426,0,426,0%,100%
Q30,North East SHA,5E+01,Stockton-on-Tees Teaching,A81034,THORNABY & BARWICK MEDICAL GROUP,365,0,365,0%,100%
Q30,North East SHA,5E+01,Stockton-on-Tees Teaching,A81036,NORTON MEDICAL CENTRE,301,0,301,0%,100%
Q30,North East SHA,5E+01,Stockton-on-Tees Teaching,A81039,EAGLESCLIFFE MEDICAL PRACTICE,364,0,364,0%,100%
Q30,North East SHA,5E+01,Stockton-on-Tees Teaching,A81040,MARSH HOUSE MEDICAL CENTRE,338,0,338,0%,100%
Q30,North East SHA,5E+01,Stockton-on-Tees Teaching,A81046,WOODLANDS FAMILY MEDICAL CENTRE,321,1,320,*,100%
Q30,North East SHA,5E+01,Stockton-on-Tees Teaching,A81056,MELROSE SURGERY,109,0,109,0%,100%
Q30,North East SHA,5E+01,Stockton-on-Tees Teaching,A81057,KINGSWAY MEDICAL CENTRE,252,0,252,0%,100%
Q30,North East SHA,5E+01,Stockton-on-Tees Teaching,A81066,PARK LANE SURGERY,184,0,184,0%,100%
Q30,North East SHA,5E+01,Stockton-on-Tees Teaching,A81067,ALMA MEDICAL CENTRE,214,0,214,0%,100%
Q30,North East SHA,5E+01,Stockton-on-Tees Teaching,A81602,DR RASOOL,184,0,184,0%,100%
Q30,North East SHA,5E+01,Stockton-on-Tees Teaching,A81608,ELM TREE MEDICAL CENTRE,102,0,102,0%,100%
Q30,North East SHA,5E+01,Stockton-on-Tees Teaching,A81609,DR BANERJEE,117,0,117,0%,100%
Q30,North East SHA,5E+01,Stockton-on-Tees Teaching,A81610,DRS GEOGHEGAN & PARTNERS,277,0,277,0%,100%
Q30,North East SHA,5E+01,Stockton-on-Tees Teaching,A81620,DR CHOUDHURY,115,0,115,0%,100%
Q30,North East SHA,5E+01,Stockton-on-Tees Teaching,A81623,DR SYED,82,1,81,1%,99%
Q30,North East SHA,5E+01,Stockton-on-Tees Teaching,A81629,RIVERSIDE MEDICAL PRACTICE,229,0,229,0%,100%
Q30,North East SHA,5E+01,Stockton-on-Tees Teaching,A81632,THE BIRCHTREE PRACTICE,68,1,67,1%,99%
Q30,North East SHA,5E+01,Stockton-on-Tees Teaching,A81634,ARRIVAL PRACTICE,83,5,78,6%,94%
Q30,North East SHA,5E+01,Stockton-on-Tees Teaching,Y00527,STOCKTON NHS HEALTH CARE CENTRE,121,0,121,0%,100%
Q30,North East SHA,5J9,Darlington ,A83005,WHINFIELD SURGERY,297,0,297,0%,100%
Q30,North East SHA,5J9,Darlington ,A83006,ORCHARD COURT SURGERY,115,0,115,0%,100%
Q30,North East SHA,5J9,Darlington ,A83010,MOORLANDS SURGERY,400,1,399,*,100%
Q30,North East SHA,5J9,Darlington ,A83013,NEASHAM ROAD SURGERY,232,0,232,0%,100%
Q30,North East SHA,5J9,Darlington ,A83031,CARMEL MEDICAL PRACTICE,152,1,151,1%,99%
Q30,North East SHA,5J9,Darlington ,A83034,BLACKETTS MEDICAL PRACTICE,288,1,287,*,100%
Q30,North East SHA,5J9,Darlington ,A83040,CLIFTON COURT MEDICAL PRACTICE,139,1,138,1%,99%
Q30,North East SHA,5J9,Darlington ,A83047,DENMARK STREET SURGERY,108,0,108,0%,100%
Q30,North East SHA,5J9,Darlington ,A83048,ROCKLIFFE COURT SURGERY,105,0,105,0%,100%
Q30,North East SHA,5J9,Darlington ,A83070,FELIX HOUSE SURGERY,138,0,138,0%,100%
Q30,North East SHA,5J9,Darlington ,A83641,PARKGATE SURGERY,190,2,188,1%,99%
Q30,North East SHA,5J9,Darlington ,Y02607,DARLINGTON HEALTH CENTRE,33,0,33,0%,100%
Q30,North East SHA,5KF,Gateshead ,A85001,FELL TOWER MEDICAL CENTRE,380,0,380,0%,100%
Q30,North East SHA,5KF,Gateshead ,A85002,BENSHAM FAMILY PRACTICE,149,1,148,1%,99%
Q30,North East SHA,5KF,Gateshead ,A85003,THE GROVE MEDICAL CENTRE,380,0,380,0%,100%
Q30,North East SHA,5KF,Gateshead ,A85004,LONGRIGG MEDICAL CENTRE,161,1,160,1%,99%
Q30,North East SHA,5KF,Gateshead ,A85005,OXFORD TERRACE MEDICAL GROUP,191,1,190,1%,99%
Q30,North East SHA,5KF,Gateshead ,A85006,GLENPARK MEDICAL CENTRE,359,0,359,0%,100%
Q30,North East SHA,5KF,Gateshead ,A85007,FELL COTTAGE SURGERY,352,1,351,*,100%
Q30,North East SHA,5KF,Gateshead ,A85008,BIRTLEY MEDICAL GROUP,344,0,344,0%,100%
Q30,North East SHA,5KF,Gateshead ,A85009,CROWHALL MEDICAL CENTRE,244,0,244,0%,100%
Q30,North East SHA,5KF,Gateshead ,A85010,CHAINBRIDGE MEDICAL PARTNERSHIP,129,0,129,0%,100%
Q30,North East SHA,5KF,Gateshead ,A85011,ST. ALBANS MEDICAL GROUP,390,2,388,1%,99%
Q30,North East SHA,5KF,Gateshead ,A85012,WALKER TERRACE,230,0,230,0%,100%
Q30,North East SHA,5KF,Gateshead ,A85013,MILLENNIUM FAMILY PRACTICE,223,1,222,*,100%
Q30,North East SHA,5KF,Gateshead ,A85014,CRAWCROOK SURGERY,379,0,379,0%,100%
Q30,North East SHA,5KF,Gateshead ,A85015,HIGH STREET MEDICAL CENTRE,366,3,363,1%,99%
Q30,North East SHA,5KF,Gateshead ,A85016,DR KAURA & PARTNERS,375,1,374,*,100%
Q30,North East SHA,5KF,Gateshead ,A85017,BEWICK ROAD SURGERY,121,0,121,0%,100%
Q30,North East SHA,5KF,Gateshead ,A85018,OLDWELL SURGERY,261,0,261,0%,100%
Q30,North East SHA,5KF,Gateshead ,A85019,CENTRAL GATESHEAD MEDICAL GROUP,283,1,282,*,100%
Q30,North East SHA,5KF,Gateshead ,A85020,WHICKHAM COTTAGE MEDICAL CENTRE,353,0,353,0%,100%
Q30,North East SHA,5KF,Gateshead ,A85021,SECOND STREET SURGERY,222,1,221,*,100%
Q30,North East SHA,5KF,Gateshead ,A85023,TEAMS MEDICAL PRACTICE,96,0,96,0%,100%
Q30,North East SHA,5KF,Gateshead ,A85024,PRIMARY HEALTHCARE CENTRE,220,0,220,0%,100%
Q30,North East SHA,5KF,Gateshead ,A85025,1 RAWLING ROAD(THE MEDICAL CENTRE),363,3,360,1%,99%
Q30,North East SHA,5KF,Gateshead ,A85026,BEACON VIEW MEDICAL CENTRE,124,0,124,0%,100%
Q30,North East SHA,5KF,Gateshead ,A85601,BIRTLEY LANE SURGERY,155,0,155,0%,100%
Q30,North East SHA,5KF,Gateshead ,A85605,RYTON SURGERY,233,0,233,0%,100%
Q30,North East SHA,5KF,Gateshead ,A85609,108 RAWLING ROAD(RAWLING ROAD PRACTICE),111,0,111,0%,100%
Q30,North East SHA,5KF,Gateshead ,A85611,PELAW MEDICAL PRACTICE,308,1,307,*,100%
Q30,North East SHA,5KF,Gateshead ,A85614,THE BRIDGES MEDICAL CENTRE,328,0,328,0%,100%
Q30,North East SHA,5KF,Gateshead ,A85616,HOLLYHURST,145,1,144,1%,99%
Q30,North East SHA,5KF,Gateshead ,A85617,SUNNISIDE SURGERY,112,1,111,1%,99%
Q30,North East SHA,5KF,Gateshead ,A85620,GRANGE ROAD MEDICAL PRACTICE,160,1,159,1%,99%
Q30,North East SHA,5KF,Gateshead ,Y02658,BLAYDON GP LED HEALTH CENTRE,115,0,115,0%,100%
Q30,North East SHA,5KF,Gateshead ,Y02712,MEDICUS FAMILY PRACTICE,17,0,17,0%,100%
Q30,North East SHA,5KG,South Tyneside ,A88001,VICTORIA MEDICAL CENTRE,202,0,202,0%,100%
Q30,North East SHA,5KG,South Tyneside ,A88002,FARNHAM MEDICAL CTR.,397,2,395,1%,99%
Q30,North East SHA,5KG,South Tyneside ,A88003,MARSDEN RD. HEALTH CENTRE,111,0,111,0%,100%
Q30,North East SHA,5KG,South Tyneside ,A88004,MAYFIELD MEDICAL CENTRE,85,0,85,0%,100%
Q30,North East SHA,5KG,South Tyneside ,A88005,WENLOCK ROAD SURGERY,192,2,190,1%,99%
Q30,North East SHA,5KG,South Tyneside ,A88006,TALBOT MEDICAL CENTRE,290,0,290,0%,100%
Q30,North East SHA,5KG,South Tyneside ,A88007,WAWN STREET SURGERY,263,1,262,*,100%
Q30,North East SHA,5KG,South Tyneside ,A88008,TRINITY MEDICAL CENTRE,267,1,266,*,100%
Q30,North East SHA,5KG,South Tyneside ,A88009,DR THORNILEY-WALKER & PARTNERS,335,1,334,*,100%
Q30,North East SHA,5KG,South Tyneside ,A88010,ALBERT ROAD SURGERY,406,1,405,*,100%
Q30,North East SHA,5KG,South Tyneside ,A88011,WESTOE SURGERY,364,0,364,0%,100%
Q30,North East SHA,5KG,South Tyneside ,A88012,HEBBURN HEALTH CENTRE PRACTICE,395,0,395,0%,100%
Q30,North East SHA,5KG,South Tyneside ,A88013,CENTRAL SURGERY,126,1,125,1%,99%
Q30,North East SHA,5KG,South Tyneside ,A88014,STANHOPE PARADE HC (DR KULKARNI),162,1,161,1%,99%
Q30,North East SHA,5KG,South Tyneside ,A88015,ST.GEORGE'S MEDICAL CTR,370,2,368,1%,99%
Q30,North East SHA,5KG,South Tyneside ,A88016,DR SIMPSON & PARTNERS,104,0,104,0%,100%
Q30,North East SHA,5KG,South Tyneside ,A88020,FLAGG COURT (DR S CHANDER),93,0,93,0%,100%
Q30,North East SHA,5KG,South Tyneside ,A88022,THE GLEN MEDICAL GROUP,379,0,379,0%,100%
Q30,North East SHA,5KG,South Tyneside ,A88023,WHITBURN SURGERY,247,0,247,0%,100%
Q30,North East SHA,5KG,South Tyneside ,A88024,WEAR STREET SURGERY,99,0,99,0%,100%
Q30,North East SHA,5KG,South Tyneside ,A88025,THE G.P.SUITE,288,0,288,0%,100%
Q30,North East SHA,5KG,South Tyneside ,A88601,IMEARY STREET PRACTICE,245,0,245,0%,100%
Q30,North East SHA,5KG,South Tyneside ,A88603,THE PARK SURGERY,104,0,104,0%,100%
Q30,North East SHA,5KG,South Tyneside ,A88608,RAVENSWORTH SURGERY,207,0,207,0%,100%
Q30,North East SHA,5KG,South Tyneside ,A88611,STANHOPE PARADE H C (DR S G DAYA),116,0,116,0%,100%
Q30,North East SHA,5KG,South Tyneside ,A88613,EAST WING PRACTICE,396,2,394,1%,99%
Q30,North East SHA,5KG,South Tyneside ,A88614,FLAGG COURT (DR N WIN),251,0,251,0%,100%
Q30,North East SHA,5KG,South Tyneside ,A88615,FLAGG COURT (DR H S KOR),222,0,222,0%,100%
Q30,North East SHA,5KG,South Tyneside ,Y00915,TRINITY RIVERSIDE PRACTICE,249,1,248,*,100%
Q30,North East SHA,5KL,Sunderland Teaching ,A89001,DR DATTA & PARTNERS,355,1,354,*,100%
Q30,North East SHA,5KL,Sunderland Teaching ,A89002,DR S M BHATE & DR H EL-SHAKANKERY,373,0,373,0%,100%
Q30,North East SHA,5KL,Sunderland Teaching ,A89003,DR VAKHARIA & HEGDE,190,0,190,0%,100%
Q30,North East SHA,5KL,Sunderland Teaching ,A89004,PEPPER HM,360,0,360,0%,100%
Q30,North East SHA,5KL,Sunderland Teaching ,A89005,DR BRIGHAM & PARTNERS,300,2,298,1%,99%
Q30,North East SHA,5KL,Sunderland Teaching ,A89006,DR SHETTY & PARTNERS,258,0,258,0%,100%
Q30,North East SHA,5KL,Sunderland Teaching ,A89007,DRS BROWN & LEFLEY,222,0,222,0%,100%
Q30,North East SHA,5KL,Sunderland Teaching ,A89008,RED HOUSE MEDICAL CENTRE,295,1,294,*,100%
Q30,North East SHA,5KL,Sunderland Teaching ,A89009,HERRINGTON MEDICAL CENTRE,153,0,153,0%,100%
Q30,North East SHA,5KL,Sunderland Teaching ,A89010,DR STEPHENSON & PARTNERS,372,0,372,0%,100%
Q30,North East SHA,5KL,Sunderland Teaching ,A89011,JOSHI NA,400,1,399,*,100%
Q30,North East SHA,5KL,Sunderland Teaching ,A89012,DR DIXIT'S PRACTICE,399,2,397,1%,99%
Q30,North East SHA,5KL,Sunderland Teaching ,A89013,THE NEW CITY MEDICAL GROUP,359,1,358,*,100%
Q30,North East SHA,5KL,Sunderland Teaching ,A89014,DR J. A. MAIR,126,0,126,0%,100%
Q30,North East SHA,5KL,Sunderland Teaching ,A89015,"FULWELL MEDICAL CENTRE,",310,0,310,0%,100%
Q30,North East SHA,5KL,Sunderland Teaching ,A89016,FORD RN,306,3,303,1%,99%
Q30,North East SHA,5KL,Sunderland Teaching ,A89017,MILLFIELD MEDICAL GROUP,327,0,327,0%,100%
Q30,North East SHA,5KL,Sunderland Teaching ,A89018,ASHBURN MEDICAL CENTRE,258,0,258,0%,100%
Q30,North East SHA,5KL,Sunderland Teaching ,A89019,"DRS CLOAK, CHOI AND MILLIGAN",150,0,150,0%,100%
Q30,North East SHA,5KL,Sunderland Teaching ,A89020,THE OLD FORGE SURGERY,353,0,353,0%,100%
Q30,North East SHA,5KL,Sunderland Teaching ,A89021,KEPIER MEDICAL PRACTICE,284,0,284,0%,100%
Q30,North East SHA,5KL,Sunderland Teaching ,A89022,CONCORD MEDICAL PRACTICE,156,0,156,0%,100%
Q30,North East SHA,5KL,Sunderland Teaching ,A89023,"HOUGHTON MEDICAL GROUP,",327,0,327,0%,100%
Q30,North East SHA,5KL,Sunderland Teaching ,A89024,THE BROADWAY MEDICAL PRACTICE,352,1,351,*,100%
Q30,North East SHA,5KL,Sunderland Teaching ,A89025,ENCOMPASS HEALTH CARE,214,0,214,0%,100%
Q30,North East SHA,5KL,Sunderland Teaching ,A89026,VICTORIA MEDICAL PRACTICE,311,0,311,0%,100%
Q30,North East SHA,5KL,Sunderland Teaching ,A89027,SPRINGWELL MEDICAL GROUP,356,0,356,0%,100%
Q30,North East SHA,5KL,Sunderland Teaching ,A89028,GRANGEWOOD SURGERY,328,1,327,*,100%
Q30,North East SHA,5KL,Sunderland Teaching ,A89029,SPRINGWELL HOUSE,269,1,268,*,100%
Q30,North East SHA,5KL,Sunderland Teaching ,A89030,WESTBOURNE MEDICAL GROUP,114,0,114,0%,100%
Q30,North East SHA,5KL,Sunderland Teaching ,A89031,HYLTON MEDICAL GROUP,318,1,317,*,100%
Q30,North East SHA,5KL,Sunderland Teaching ,A89032,COLLIERY MEDICAL GROUP,374,1,373,*,100%
Q30,North East SHA,5KL,Sunderland Teaching ,A89034,PARK LANE PRACTICE,278,0,278,0%,100%
Q30,North East SHA,5KL,Sunderland Teaching ,A89035,SOUTHLANDS MEDICAL GROUP,368,1,367,*,100%
Q30,North East SHA,5KL,Sunderland Teaching ,A89036,CASTLETOWN MEDICAL CENTRE,268,0,268,0%,100%
Q30,North East SHA,5KL,Sunderland Teaching ,A89038,BARMSTON MEDICAL CENTRE,380,0,380,0%,100%
Q30,North East SHA,5KL,Sunderland Teaching ,A89040,DR A J M CRUMMIE,208,2,206,1%,99%
Q30,North East SHA,5KL,Sunderland Teaching ,A89041,"DR KNJ WEAVER,",230,0,230,0%,100%
Q30,North East SHA,5KL,Sunderland Teaching ,A89042,CHURCH VIEW MEDICAL CENTRE,342,1,341,*,100%
Q30,North East SHA,5KL,Sunderland Teaching ,A89603,DR. R. OBONNA,230,0,230,0%,100%
Q30,North East SHA,5KL,Sunderland Teaching ,A89604,DR WEATHERHEAD & ASSOCIATES,154,0,154,0%,100%
Q30,North East SHA,5KL,Sunderland Teaching ,A89610,PEACE  HAVEN,310,0,310,0%,100%
Q30,North East SHA,5KL,Sunderland Teaching ,A89611,EDEN TERRACE SURGERY,122,1,121,1%,99%
Q30,North East SHA,5KL,Sunderland Teaching ,A89612,NATHAN JR,290,1,289,*,100%
Q30,North East SHA,5KL,Sunderland Teaching ,A89614,SOUTH HYLTON SURGERY,323,0,323,0%,100%
Q30,North East SHA,5KL,Sunderland Teaching ,A89616,RICKLETON MEDICAL CENTRE,274,1,273,*,100%
Q30,North East SHA,5KL,Sunderland Teaching ,A89617,HARRATON SURGERY,177,0,177,0%,100%
Q30,North East SHA,5KL,Sunderland Teaching ,A89618,THE WEARSIDE PRACTICE,144,1,143,1%,99%
Q30,North East SHA,5KL,Sunderland Teaching ,A89620,DR THOMAS,284,0,284,0%,100%
Q30,North East SHA,5KL,Sunderland Teaching ,A89621,PENNYWELL MEDICAL CENTRE,277,0,277,0%,100%
Q30,North East SHA,5KL,Sunderland Teaching ,A89623,CHESTER SURGERY,142,0,142,0%,100%
Q30,North East SHA,5KL,Sunderland Teaching ,A89624,DR. N.J. BHATT & DR. H.M. BENN,122,0,122,0%,100%
Q30,North East SHA,5KL,Sunderland Teaching ,A89625,MARITIME SURGERY,84,3,81,4%,96%
Q30,North East SHA,5KL,Sunderland Teaching ,A89626,DR S P BAGCHI,98,0,98,0%,100%
Q30,North East SHA,5KL,Sunderland Teaching ,Y01262,PALLION PRIMARY CARE SERVICES,1,~,~,~,~
Q30,North East SHA,5KL,Sunderland Teaching ,Y02647,ENCOMPASS GP PRACTICE 2,96,0,96,0%,100%
Q30,North East SHA,5KM,Middlesbrough ,A81004,WOODLANDS ROAD SURGERY,386,0,386,0%,100%
Q30,North East SHA,5KM,Middlesbrough ,A81009,VILLAGE MEDICAL CENTRE,214,1,213,*,100%
Q30,North East SHA,5KM,Middlesbrough ,A81012,WESTBOURNE MEDICAL CENTRE,104,0,104,0%,100%
Q30,North East SHA,5KM,Middlesbrough ,A81016,PARK SURGERY,283,1,282,*,100%
Q30,North East SHA,5KM,Middlesbrough ,A81019,CROSSFELL HEALTH CENTRE,247,1,246,*,100%
Q30,North East SHA,5KM,Middlesbrough ,A81020,MARTONSIDE MEDICAL CENTRE,214,0,214,0%,100%
Q30,North East SHA,5KM,Middlesbrough ,A81023,THE ENDEAVOUR PRACTICE,118,0,118,0%,100%
Q30,North East SHA,5KM,Middlesbrough ,A81026,THE LINTHORPE SURGERY,344,2,342,1%,99%
Q30,North East SHA,5KM,Middlesbrough ,A81029,PROSPECT SURGERY,323,0,323,0%,100%
Q30,North East SHA,5KM,Middlesbrough ,A81030,BOROUGH ROAD & NUNTHORPE MEDICAL GROUP,277,1,276,*,100%
