REF_DATE,GEO,DGUID,Measures,Sex,Age_group,Categories,Characteristics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2013,Canada,2016A000011124,Low-frequency hearing loss,Both sexes,Ages 20 to 39,No hearing loss,"Low 95% confidence interval, estimate",Percent,239,units ,0,v108839796,1.1.1.4.2.2,77.9,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Both sexes,Ages 20 to 39,No hearing loss,"High 95% confidence interval, estimate",Percent,239,units ,0,v108839797,1.1.1.4.2.3,89.1,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Both sexes,Ages 40 to 59,Hearing loss,Estimate,Percent,239,units ,0,v108839804,1.1.1.6.1.1,30.5,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Both sexes,Ages 40 to 59,Hearing loss,"Low 95% confidence interval, estimate",Percent,239,units ,0,v108839805,1.1.1.6.1.2,26,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Both sexes,Ages 40 to 59,Hearing loss,"High 95% confidence interval, estimate",Percent,239,units ,0,v108839806,1.1.1.6.1.3,35.4,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Both sexes,Ages 40 to 59,No hearing loss,Estimate,Percent,239,units ,0,v108839807,1.1.1.6.2.1,69.5,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Both sexes,Ages 40 to 59,No hearing loss,"Low 95% confidence interval, estimate",Percent,239,units ,0,v108839808,1.1.1.6.2.2,64.6,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Both sexes,Ages 40 to 59,No hearing loss,"High 95% confidence interval, estimate",Percent,239,units ,0,v108839809,1.1.1.6.2.3,74,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Both sexes,Ages 60 to 79,Hearing loss,Estimate,Percent,239,units ,0,v108839810,1.1.1.7.1.1,66.9,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Both sexes,Ages 60 to 79,Hearing loss,"Low 95% confidence interval, estimate",Percent,239,units ,0,v108839811,1.1.1.7.1.2,62.7,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Both sexes,Ages 60 to 79,Hearing loss,"High 95% confidence interval, estimate",Percent,239,units ,0,v108839812,1.1.1.7.1.3,70.8,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Both sexes,Ages 60 to 79,No hearing loss,Estimate,Percent,239,units ,0,v108839813,1.1.1.7.2.1,33.1,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Both sexes,Ages 60 to 79,No hearing loss,"Low 95% confidence interval, estimate",Percent,239,units ,0,v108839814,1.1.1.7.2.2,29.2,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Both sexes,Ages 60 to 79,No hearing loss,"High 95% confidence interval, estimate",Percent,239,units ,0,v108839815,1.1.1.7.2.3,37.3,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Males,Ages 6 to 79,Hearing loss,Estimate,Percent,239,units ,0,v108839816,1.1.2.1.1.1,33.1,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Males,Ages 6 to 79,Hearing loss,"Low 95% confidence interval, estimate",Percent,239,units ,0,v108839817,1.1.2.1.1.2,28.6,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Males,Ages 6 to 79,Hearing loss,"High 95% confidence interval, estimate",Percent,239,units ,0,v108839818,1.1.2.1.1.3,37.8,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Males,Ages 6 to 79,No hearing loss,Estimate,Percent,239,units ,0,v108839819,1.1.2.1.2.1,66.9,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Males,Ages 6 to 79,No hearing loss,"Low 95% confidence interval, estimate",Percent,239,units ,0,v108839820,1.1.2.1.2.2,62.2,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Males,Ages 6 to 79,No hearing loss,"High 95% confidence interval, estimate",Percent,239,units ,0,v108839821,1.1.2.1.2.3,71.4,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Males,Ages 6 to 11,Hearing loss,Estimate,Percent,239,units ,0,v108839822,1.1.2.2.1.1,,F,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Males,Ages 6 to 11,Hearing loss,"Low 95% confidence interval, estimate",Percent,239,units ,0,v108839823,1.1.2.2.1.2,,F,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Males,Ages 6 to 11,Hearing loss,"High 95% confidence interval, estimate",Percent,239,units ,0,v108839824,1.1.2.2.1.3,,F,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Males,Ages 6 to 11,No hearing loss,Estimate,Percent,239,units ,0,v108839825,1.1.2.2.2.1,92.2,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Males,Ages 6 to 11,No hearing loss,"Low 95% confidence interval, estimate",Percent,239,units ,0,v108839826,1.1.2.2.2.2,81.7,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Males,Ages 6 to 11,No hearing loss,"High 95% confidence interval, estimate",Percent,239,units ,0,v108839827,1.1.2.2.2.3,96.9,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Males,Ages 12 to 19,Hearing loss,Estimate,Percent,239,units ,0,v108839828,1.1.2.3.1.1,13.2,E,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Males,Ages 12 to 19,Hearing loss,"Low 95% confidence interval, estimate",Percent,239,units ,0,v108839829,1.1.2.3.1.2,8.8,E,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Males,Ages 12 to 19,Hearing loss,"High 95% confidence interval, estimate",Percent,239,units ,0,v108839830,1.1.2.3.1.3,19.5,E,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Males,Ages 12 to 19,No hearing loss,Estimate,Percent,239,units ,0,v108839831,1.1.2.3.2.1,86.8,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Males,Ages 12 to 19,No hearing loss,"Low 95% confidence interval, estimate",Percent,239,units ,0,v108839832,1.1.2.3.2.2,80.5,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Males,Ages 12 to 19,No hearing loss,"High 95% confidence interval, estimate",Percent,239,units ,0,v108839833,1.1.2.3.2.3,91.2,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Males,Ages 20 to 39,Hearing loss,Estimate,Percent,239,units ,0,v108839834,1.1.2.4.1.1,19.2,E,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Males,Ages 20 to 39,Hearing loss,"Low 95% confidence interval, estimate",Percent,239,units ,0,v108839835,1.1.2.4.1.2,12.1,E,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Males,Ages 20 to 39,Hearing loss,"High 95% confidence interval, estimate",Percent,239,units ,0,v108839836,1.1.2.4.1.3,29.1,E,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Males,Ages 20 to 39,No hearing loss,Estimate,Percent,239,units ,0,v108839837,1.1.2.4.2.1,80.8,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Males,Ages 20 to 39,No hearing loss,"Low 95% confidence interval, estimate",Percent,239,units ,0,v108839838,1.1.2.4.2.2,70.9,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Males,Ages 20 to 39,No hearing loss,"High 95% confidence interval, estimate",Percent,239,units ,0,v108839839,1.1.2.4.2.3,87.9,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Males,Ages 40 to 59,Hearing loss,Estimate,Percent,239,units ,0,v108839846,1.1.2.6.1.1,36.7,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Males,Ages 40 to 59,Hearing loss,"Low 95% confidence interval, estimate",Percent,239,units ,0,v108839847,1.1.2.6.1.2,29.7,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Males,Ages 40 to 59,Hearing loss,"High 95% confidence interval, estimate",Percent,239,units ,0,v108839848,1.1.2.6.1.3,44.3,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Males,Ages 40 to 59,No hearing loss,Estimate,Percent,239,units ,0,v108839849,1.1.2.6.2.1,63.3,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Males,Ages 40 to 59,No hearing loss,"Low 95% confidence interval, estimate",Percent,239,units ,0,v108839850,1.1.2.6.2.2,55.7,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Males,Ages 40 to 59,No hearing loss,"High 95% confidence interval, estimate",Percent,239,units ,0,v108839851,1.1.2.6.2.3,70.3,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Males,Ages 60 to 79,Hearing loss,Estimate,Percent,239,units ,0,v108839852,1.1.2.7.1.1,71.6,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Males,Ages 60 to 79,Hearing loss,"Low 95% confidence interval, estimate",Percent,239,units ,0,v108839853,1.1.2.7.1.2,64,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Males,Ages 60 to 79,Hearing loss,"High 95% confidence interval, estimate",Percent,239,units ,0,v108839854,1.1.2.7.1.3,78.1,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Males,Ages 60 to 79,No hearing loss,Estimate,Percent,239,units ,0,v108839855,1.1.2.7.2.1,28.4,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Males,Ages 60 to 79,No hearing loss,"Low 95% confidence interval, estimate",Percent,239,units ,0,v108839856,1.1.2.7.2.2,21.9,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Males,Ages 60 to 79,No hearing loss,"High 95% confidence interval, estimate",Percent,239,units ,0,v108839857,1.1.2.7.2.3,36,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Females,Ages 6 to 79,Hearing loss,Estimate,Percent,239,units ,0,v108839858,1.1.3.1.1.1,25.7,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Females,Ages 6 to 79,Hearing loss,"Low 95% confidence interval, estimate",Percent,239,units ,0,v108839859,1.1.3.1.1.2,21.6,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Females,Ages 6 to 79,Hearing loss,"High 95% confidence interval, estimate",Percent,239,units ,0,v108839860,1.1.3.1.1.3,30.2,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Females,Ages 6 to 79,No hearing loss,Estimate,Percent,239,units ,0,v108839861,1.1.3.1.2.1,74.3,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Females,Ages 6 to 79,No hearing loss,"Low 95% confidence interval, estimate",Percent,239,units ,0,v108839862,1.1.3.1.2.2,69.8,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Females,Ages 6 to 79,No hearing loss,"High 95% confidence interval, estimate",Percent,239,units ,0,v108839863,1.1.3.1.2.3,78.4,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Females,Ages 6 to 11,Hearing loss,Estimate,Percent,239,units ,0,v108839864,1.1.3.2.1.1,11.7,E,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Females,Ages 6 to 11,Hearing loss,"Low 95% confidence interval, estimate",Percent,239,units ,0,v108839865,1.1.3.2.1.2,7.2,E,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Females,Ages 6 to 11,Hearing loss,"High 95% confidence interval, estimate",Percent,239,units ,0,v108839866,1.1.3.2.1.3,18.3,E,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Females,Ages 6 to 11,No hearing loss,Estimate,Percent,239,units ,0,v108839867,1.1.3.2.2.1,88.3,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Females,Ages 6 to 11,No hearing loss,"Low 95% confidence interval, estimate",Percent,239,units ,0,v108839868,1.1.3.2.2.2,81.7,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Females,Ages 6 to 11,No hearing loss,"High 95% confidence interval, estimate",Percent,239,units ,0,v108839869,1.1.3.2.2.3,92.8,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Females,Ages 12 to 19,Hearing loss,Estimate,Percent,239,units ,0,v108839870,1.1.3.3.1.1,9.2,E,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Females,Ages 12 to 19,Hearing loss,"Low 95% confidence interval, estimate",Percent,239,units ,0,v108839871,1.1.3.3.1.2,5.3,E,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Females,Ages 12 to 19,Hearing loss,"High 95% confidence interval, estimate",Percent,239,units ,0,v108839872,1.1.3.3.1.3,15.5,E,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Females,Ages 12 to 19,No hearing loss,Estimate,Percent,239,units ,0,v108839873,1.1.3.3.2.1,90.8,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Females,Ages 12 to 19,No hearing loss,"Low 95% confidence interval, estimate",Percent,239,units ,0,v108839874,1.1.3.3.2.2,84.5,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Females,Ages 12 to 19,No hearing loss,"High 95% confidence interval, estimate",Percent,239,units ,0,v108839875,1.1.3.3.2.3,94.7,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Females,Ages 20 to 39,Hearing loss,Estimate,Percent,239,units ,0,v108839876,1.1.3.4.1.1,12.2,E,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Females,Ages 20 to 39,Hearing loss,"Low 95% confidence interval, estimate",Percent,239,units ,0,v108839877,1.1.3.4.1.2,6.5,E,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Females,Ages 20 to 39,Hearing loss,"High 95% confidence interval, estimate",Percent,239,units ,0,v108839878,1.1.3.4.1.3,21.7,E,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Females,Ages 20 to 39,No hearing loss,Estimate,Percent,239,units ,0,v108839879,1.1.3.4.2.1,87.8,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Females,Ages 20 to 39,No hearing loss,"Low 95% confidence interval, estimate",Percent,239,units ,0,v108839880,1.1.3.4.2.2,78.3,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Females,Ages 20 to 39,No hearing loss,"High 95% confidence interval, estimate",Percent,239,units ,0,v108839881,1.1.3.4.2.3,93.5,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Females,Ages 40 to 59,Hearing loss,Estimate,Percent,239,units ,0,v108839888,1.1.3.6.1.1,24.3,E,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Females,Ages 40 to 59,Hearing loss,"Low 95% confidence interval, estimate",Percent,239,units ,0,v108839889,1.1.3.6.1.2,15.6,E,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Females,Ages 40 to 59,Hearing loss,"High 95% confidence interval, estimate",Percent,239,units ,0,v108839890,1.1.3.6.1.3,35.9,E,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Females,Ages 40 to 59,No hearing loss,Estimate,Percent,239,units ,0,v108839891,1.1.3.6.2.1,75.7,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Females,Ages 40 to 59,No hearing loss,"Low 95% confidence interval, estimate",Percent,239,units ,0,v108839892,1.1.3.6.2.2,64.1,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Females,Ages 40 to 59,No hearing loss,"High 95% confidence interval, estimate",Percent,239,units ,0,v108839893,1.1.3.6.2.3,84.4,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Females,Ages 60 to 79,Hearing loss,Estimate,Percent,239,units ,0,v108839894,1.1.3.7.1.1,62.5,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Females,Ages 60 to 79,Hearing loss,"Low 95% confidence interval, estimate",Percent,239,units ,0,v108839895,1.1.3.7.1.2,55.6,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Females,Ages 60 to 79,Hearing loss,"High 95% confidence interval, estimate",Percent,239,units ,0,v108839896,1.1.3.7.1.3,69,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Females,Ages 60 to 79,No hearing loss,Estimate,Percent,239,units ,0,v108839897,1.1.3.7.2.1,37.5,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Females,Ages 60 to 79,No hearing loss,"Low 95% confidence interval, estimate",Percent,239,units ,0,v108839898,1.1.3.7.2.2,31,,,,1
2013,Canada,2016A000011124,Low-frequency hearing loss,Females,Ages 60 to 79,No hearing loss,"High 95% confidence interval, estimate",Percent,239,units ,0,v108839899,1.1.3.7.2.3,44.4,,,,1
2013,Canada,2016A000011124,High-frequency hearing loss,Both sexes,Ages 6 to 79,Hearing loss,Estimate,Percent,239,units ,0,v108839900,1.2.1.1.1.1,45.6,,,,1
2013,Canada,2016A000011124,High-frequency hearing loss,Both sexes,Ages 6 to 79,Hearing loss,"Low 95% confidence interval, estimate",Percent,239,units ,0,v108839901,1.2.1.1.1.2,42.8,,,,1
2013,Canada,2016A000011124,High-frequency hearing loss,Both sexes,Ages 6 to 79,Hearing loss,"High 95% confidence interval, estimate",Percent,239,units ,0,v108839902,1.2.1.1.1.3,48.5,,,,1
2013,Canada,2016A000011124,High-frequency hearing loss,Both sexes,Ages 6 to 79,No hearing loss,Estimate,Percent,239,units ,0,v108839903,1.2.1.1.2.1,54.4,,,,1
2013,Canada,2016A000011124,High-frequency hearing loss,Both sexes,Ages 6 to 79,No hearing loss,"Low 95% confidence interval, estimate",Percent,239,units ,0,v108839904,1.2.1.1.2.2,51.5,,,,1
2013,Canada,2016A000011124,High-frequency hearing loss,Both sexes,Ages 6 to 79,No hearing loss,"High 95% confidence interval, estimate",Percent,239,units ,0,v108839905,1.2.1.1.2.3,57.2,,,,1
2013,Canada,2016A000011124,High-frequency hearing loss,Both sexes,Ages 6 to 11,Hearing loss,Estimate,Percent,239,units ,0,v108839906,1.2.1.2.1.1,10.7,,,,1
2013,Canada,2016A000011124,High-frequency hearing loss,Both sexes,Ages 6 to 11,Hearing loss,"Low 95% confidence interval, estimate",Percent,239,units ,0,v108839907,1.2.1.2.1.2,8.3,,,,1
2013,Canada,2016A000011124,High-frequency hearing loss,Both sexes,Ages 6 to 11,Hearing loss,"High 95% confidence interval, estimate",Percent,239,units ,0,v108839908,1.2.1.2.1.3,13.7,,,,1
2013,Canada,2016A000011124,High-frequency hearing loss,Both sexes,Ages 6 to 11,No hearing loss,Estimate,Percent,239,units ,0,v108839909,1.2.1.2.2.1,89.3,,,,1
2013,Canada,2016A000011124,High-frequency hearing loss,Both sexes,Ages 6 to 11,No hearing loss,"Low 95% confidence interval, estimate",Percent,239,units ,0,v108839910,1.2.1.2.2.2,86.3,,,,1
2013,Canada,2016A000011124,High-frequency hearing loss,Both sexes,Ages 6 to 11,No hearing loss,"High 95% confidence interval, estimate",Percent,239,units ,0,v108839911,1.2.1.2.2.3,91.7,,,,1
2013,Canada,2016A000011124,High-frequency hearing loss,Both sexes,Ages 12 to 19,Hearing loss,Estimate,Percent,239,units ,0,v108839912,1.2.1.3.1.1,10.1,,,,1
2013,Canada,2016A000011124,High-frequency hearing loss,Both sexes,Ages 12 to 19,Hearing loss,"Low 95% confidence interval, estimate",Percent,239,units ,0,v108839913,1.2.1.3.1.2,7.8,,,,1
2013,Canada,2016A000011124,High-frequency hearing loss,Both sexes,Ages 12 to 19,Hearing loss,"High 95% confidence interval, estimate",Percent,239,units ,0,v108839914,1.2.1.3.1.3,13,,,,1
2013,Canada,2016A000011124,High-frequency hearing loss,Both sexes,Ages 12 to 19,No hearing loss,Estimate,Percent,239,units ,0,v108839915,1.2.1.3.2.1,89.9,,,,1
2013,Canada,2016A000011124,High-frequency hearing loss,Both sexes,Ages 12 to 19,No hearing loss,"Low 95% confidence interval, estimate",Percent,239,units ,0,v108839916,1.2.1.3.2.2,87,,,,1
2013,Canada,2016A000011124,High-frequency hearing loss,Both sexes,Ages 12 to 19,No hearing loss,"High 95% confidence interval, estimate",Percent,239,units ,0,v108839917,1.2.1.3.2.3,92.2,,,,1
2013,Canada,2016A000011124,High-frequency hearing loss,Both sexes,Ages 20 to 39,Hearing loss,Estimate,Percent,239,units ,0,v108839918,1.2.1.4.1.1,20.3,,,,1
2013,Canada,2016A000011124,High-frequency hearing loss,Both sexes,Ages 20 to 39,Hearing loss,"Low 95% confidence interval, estimate",Percent,239,units ,0,v108839919,1.2.1.4.1.2,14.6,,,,1
2013,Canada,2016A000011124,High-frequency hearing loss,Both sexes,Ages 20 to 39,Hearing loss,"High 95% confidence interval, estimate",Percent,239,units ,0,v108839920,1.2.1.4.1.3,27.6,,,,1
2013,Canada,2016A000011124,High-frequency hearing loss,Both sexes,Ages 20 to 39,No hearing loss,Estimate,Percent,239,units ,0,v108839921,1.2.1.4.2.1,79.7,,,,1
2013,Canada,2016A000011124,High-frequency hearing loss,Both sexes,Ages 20 to 39,No hearing loss,"Low 95% confidence interval, estimate",Percent,239,units ,0,v108839922,1.2.1.4.2.2,72.4,,,,1
2013,Canada,2016A000011124,High-frequency hearing loss,Both sexes,Ages 20 to 39,No hearing loss,"High 95% confidence interval, estimate",Percent,239,units ,0,v108839923,1.2.1.4.2.3,85.4,,,,1
2013,Canada,2016A000011124,High-frequency hearing loss,Both sexes,Ages 40 to 59,Hearing loss,Estimate,Percent,239,units ,0,v108839930,1.2.1.6.1.1,59.8,,,,1
2013,Canada,2016A000011124,High-frequency hearing loss,Both sexes,Ages 40 to 59,Hearing loss,"Low 95% confidence interval, estimate",Percent,239,units ,0,v108839931,1.2.1.6.1.2,53.6,,,,1
2013,Canada,2016A000011124,High-frequency hearing loss,Both sexes,Ages 40 to 59,Hearing loss,"High 95% confidence interval, estimate",Percent,239,units ,0,v108839932,1.2.1.6.1.3,65.7,,,,1
2013,Canada,2016A000011124,High-frequency hearing loss,Both sexes,Ages 40 to 59,No hearing loss,Estimate,Percent,239,units ,0,v108839933,1.2.1.6.2.1,40.2,,,,1
2013,Canada,2016A000011124,High-frequency hearing loss,Both sexes,Ages 40 to 59,No hearing loss,"Low 95% confidence interval, estimate",Percent,239,units ,0,v108839934,1.2.1.6.2.2,34.3,,,,1
2013,Canada,2016A000011124,High-frequency hearing loss,Both sexes,Ages 40 to 59,No hearing loss,"High 95% confidence interval, estimate",Percent,239,units ,0,v108839935,1.2.1.6.2.3,46.4,,,,1
2013,Canada,2016A000011124,High-frequency hearing loss,Both sexes,Ages 60 to 79,Hearing loss,Estimate,Percent,239,units ,0,v108839936,1.2.1.7.1.1,94.6,,,,1
2013,Canada,2016A000011124,High-frequency hearing loss,Both sexes,Ages 60 to 79,Hearing loss,"Low 95% confidence interval, estimate",Percent,239,units ,0,v108839937,1.2.1.7.1.2,91.5,,,,1
2013,Canada,2016A000011124,High-frequency hearing loss,Both sexes,Ages 60 to 79,Hearing loss,"High 95% confidence interval, estimate",Percent,239,units ,0,v108839938,1.2.1.7.1.3,96.6,,,,1
2013,Canada,2016A000011124,High-frequency hearing loss,Both sexes,Ages 60 to 79,No hearing loss,Estimate,Percent,239,units ,0,v108839939,1.2.1.7.2.1,5.4,E,,,1
2013,Canada,2016A000011124,High-frequency hearing loss,Both sexes,Ages 60 to 79,No hearing loss,"Low 95% confidence interval, estimate",Percent,239,units ,0,v108839940,1.2.1.7.2.2,3.4,E,,,1
